/ìGéÌóﬁ,à⁄ìÆÉpÉ^Å[Éì,èoåªéûä‘,í‚é~,ãAä“,Xç¿ïW,Yç¿ïW,HP,íeä‘äu,íeéÌóﬁ,íeë¨ìx
0,0,20,120,1500,240,-40,10,50,10,2
0,0,470,600,1500,120,-40,10,50,10,2
0,0,500,600,1500,120,-40,10,50,10,2
0,0,470,600,1500,360,-40,10,50,10,2
0,0,500,600,1500,360,-40,10,50,10,2
0,0,800,940,1500,120,-40,10,50,2,2
0,0,840,940,1500,120,-40,10,50,2,2
0,0,800,940,1500,360,-40,10,50,1,2
0,0,840,940,1500,360,-40,10,50,1,2
0,0,1140,1300,2000,50,-40,50,100,0,2
0,0,1170,1315,2000,50,-40,50,100,2,2
0,0,1200,1330,2000,50,-40,50,100,0,2
0,0,1230,1345,2000,50,-40,50,100,2,2
0,0,1260,1360,2000,50,-40,50,100,0,2
0,0,1290,1375,2000,50,-40,50,100,2,2
0,0,1140,1300,2000,370,-40,50,100,0,2
0,0,1170,1315,2000,370,-40,50,100,1,2
0,0,1200,1330,2000,370,-40,50,100,0,2
0,0,1230,1345,2000,370,-40,50,100,1,2
0,0,1260,1360,2000,370,-40,50,100,0,2
0,0,1290,1375,2000,370,-40,50,100,1,2
1,0,1700,1780,3500,100,-40,300,10,4,3
1,0,1700,1780,3500,320,-40,300,10,4,3
0,4,2000,2250,4500,-40,180,50,50,2,2
0,4,2040,2250,4500,-40,180,50,50,0,2
0,4,2080,2250,4500,-40,180,50,50,2,2
0,4,2120,2250,4500,-40,180,50,50,0,2
0,4,2160,2250,4500,-40,180,50,50,2,2
0,5,2000,2250,4500,500,280,50,50,1,2
0,5,2040,2250,4500,500,280,50,50,0,2
0,5,2080,2250,4500,500,280,50,50,1,2
0,5,2120,2250,4500,500,280,50,50,0,2
0,5,2160,2250,4500,500,280,50,50,1,2
2,0,2300,2450,6000,240,-40,200,10,5,3
