/ìGéÌóﬁ,à⁄ìÆÉpÉ^Å[Éì,èoåªéûä‘,í‚é~,ãAä“,Xç¿ïW,Yç¿ïW,HP,íeä‘äu,íeéÌóﬁ,íeë¨ìx
0,0,60,120,520,30,-40,20,15,0,4
0,0,60,120,520,420,-40,20,15,0,4
0,0,90,150,520,60,-40,20,15,0,4
0,0,90,150,520,390,-40,20,15,0,4
0,0,120,180,520,90,-40,20,15,0,4
0,0,120,180,520,360,-40,20,15,0,4
0,0,150,210,520,120,-40,20,15,0,4
0,0,150,210,520,330,-40,20,15,0,4
0,0,180,240,520,150,-40,20,15,0,4
0,0,180,240,520,300,-40,20,15,0,4
0,0,210,270,520,180,-40,20,15,0,4
0,0,210,270,520,270,-40,20,15,0,4
0,2,680,685,690,420,-40,15,5,2,2
0,2,710,685,690,420,-40,15,5,2,2
0,2,740,685,690,420,-40,15,5,2,2
0,3,1160,1165,1170,30,-40,15,5,1,2
0,3,1190,1165,1170,30,-40,15,5,1,2
0,3,1220,1165,1170,30,-40,15,5,1,2
0,2,1640,1645,1650,420,-40,15,10,2,3
0,2,1740,1645,1650,390,-40,15,10,2,3
0,2,1840,1645,1650,360,-40,15,10,2,3
0,2,1940,1645,1650,330,-40,15,10,2,3
0,2,2040,1645,1650,300,-40,15,10,2,3
0,3,2140,2125,2130,30,-40,15,10,1,3
0,3,2240,2125,2130,60,-40,15,10,1,3
0,3,2340,2125,2130,90,-40,15,10,1,3
0,3,2440,2125,2130,120,-40,15,10,1,3
0,3,2540,2125,2130,150,-40,15,10,1,3
1,0,2600,2720,3020,60,-40,20,10,4,1
1,0,2660,2780,3020,390,-40,20,10,4,1
1,0,2720,2900,3020,230,-40,20,10,4,1
0,1,3120,3485,3490,60,-40,15,5,2,4
0,1,3240,3545,3550,60,-40,15,5,2,4
0,1,3360,3605,3610,60,-40,15,5,2,4
0,1,3480,3665,3670,60,-40,15,5,2,4
0,1,3600,3605,3990,390,-40,15,5,1,4
0,1,3720,3635,3990,390,-40,15,5,1,4
0,1,3840,3665,3990,390,-40,15,5,1,4
0,1,3960,4225,3990,390,-40,15,5,1,4
0,1,4080,4255,3990,60,-40,15,5,2,4
0,1,4200,4285,3990,60,-40,15,5,2,4
0,1,4320,4315,3990,60,-40,15,5,2,4
0,1,4440,4345,3990,60,-40,15,5,2,4
0,4,4740,4950,5310,-40,60,5,10,0,3
0,5,4740,4950,5310,500,60,5,10,0,3
0,4,4770,4830,5400,-40,60,5,10,0,3
0,5,4770,4830,5400,500,60,5,10,0,3
0,5,4860,5260,5460,500,240,5,10,4,3
0,4,4860,5260,5460,-40,240,5,10,4,3
0,2,5540,1740,1840,450,-40,5,10,3,3
0,3,5540,1740,1840,0,-40,5,10,3,3
0,2,5630,1740,1840,500,-40,5,10,3,3
0,3,5630,1740,1840,-40,-40,5,10,3,3
0,2,5720,1740,1840,500,60,5,10,3,3
0,3,5720,1740,1840,-40,60,5,10,3,3
2,0,6300,6360,7300,230,-40,600,40,3,2
1,0,6300,6400,7300,60,-40,10,12,4,4
1,0,6300,6400,7300,390,-40,10,12,4,4
0,0,6300,6360,7300,30,-40,5,50,2,2
0,0,6300,6360,7300,420,-40,5,50,1,2
0,0,6320,6350,7300,120,-40,5,50,0,2
0,0,6320,6350,7300,330,-40,5,50,0,2
1,0,6320,6400,7300,75,-40,10,16,4,2
1,0,6320,6400,7300,375,-40,10,16,4,2
1,0,6320,6400,7300,230,-40,10,16,4,2
